,rhoA,rhoV,dilution_factor,x,nutrient_integral,toxin_integral
0,0.47084017146082346,0.48449950195985103,0.5,0.04907559365796084,0.7033985035421042,0.41742023594058875
1,0.4528867882601959,0.48105141790070527,0.5,0.048325933895507635,0.7269681882735998,0.40962432689313943
2,0.4402644944578668,0.4836499804865442,0.5,0.047515800072837594,0.7387571276483392,0.40221796754418104
3,0.4301393236820723,0.489326468578511,0.5,0.046668239211808654,0.7443126747945711,0.3949623066488888
4,0.42114896375175026,0.49660970980521485,0.5,0.04579540042460306,0.7466948300756359,0.3877228514988732
5,0.41264080912585077,0.50476895607541,0.5,0.04490362827777242,0.7474875604098936,0.38043165292879233
6,0.4043039385879545,0.5134399141679146,0.5,0.04399634089445093,0.7474859116298462,0.37305705399355127
7,0.39599187877811387,0.5224396044446824,0.5,0.043075535440919216,0.7470829888096697,0.36558603478917323
8,0.38763740301024535,0.531674590881821,0.5,0.04214254747137512,0.746471752745701,0.3580150099400694
9,0.3792116244761136,0.5410954602573562,0.5,0.041198427326886895,0.7457466197048612,0.3503452672468816
10,0.3707043750627677,0.5506742303638689,0.5,0.04024412507215804,0.7449537721808345,0.34258076182090336
11,0.36211480096582266,0.5603931322496644,0.5,0.03928058076320865,0.7441158755794374,0.3347270626526755
12,0.3534468564767578,0.5702390377426182,0.5,0.0383087679986326,0.7432441750838245,0.32679085178647266
13,0.34470714240889616,0.5802006914119662,0.5,0.037329714260114936,0.7423444072662266,0.318779684046545
14,0.33590386394290456,0.5902673381861702,0.5,0.03634450949743477,0.7414196871128625,0.31070186693867063
15,0.32704632026814046,0.6004280481531634,0.5,0.03535430851037525,0.7404719190084451,0.30256639331217805
16,0.31814464429550443,0.6106713923723645,0.5,0.03436032981365208,0.7395024863970467,0.29438289463797274
17,0.30920965740259804,0.6209852982624651,0.5,0.033363852278854716,0.7385125896060046,0.2861615993698282
18,0.3002527745374222,0.6313569997284343,0.5,0.032366210185805135,0.7375034110228257,0.27791328902999646
19,0.29128592878202,0.6417730400666152,0.5,0.031368787002957595,0.736476195101104,0.26964924853139455
20,0.2823215007390464,0.6522193068491219,0.5,0.03037300807734141,0.735432286728954,0.26138120911449164
21,0.2733722460035035,0.6626810883487997,0.5,0.029380332363106762,0.7343731468747919,0.2531212836006282
22,0.2644512178564579,0.6731431460825024,0.5,0.02839224330104584,0.733300357585318,0.24488189386746245
23,0.25557168429226024,0.6835898003853911,0.5,0.027410238969784735,0.7322156198149918,0.23667569123278587
24,0.24674703953908717,0.6940050269451475,0.5,0.026435821642879383,0.7311207472856087,0.22851547051863458
25,0.23799071083479958,0.7043725625860664,0.5,0.025470486903390235,0.730017656870521,0.22041407892862747
